"county_id"	"county_desc"	"voter_reg_num"	"election_lbl"	"election_desc"	"voting_method"	"voted_party_cd"	"voted_party_desc"	"pct_label"	"pct_description"	"ncid"	"voted_county_id"	"voted_county_desc"	"vtd_label"	"vtd_description"
"48"	"HYDE"	"000000007845"	"11/06/2012"	"11/06/2012 GENERAL"	"IN-PERSON"	"UNA"	"UNAFFILIATED"	"08N"	"NORTH NEWLIN"	"AA156222"	"1"	"ALAMANCE"	"08N"	"08N"
"48"	"HYDE"	"000000007845"	"05/08/2012"	"05/08/2012 PRIMARY"	"IN-PERSON"	"DEM"	"DEMOCRATIC"	"08N"	"NORTH NEWLIN"	"AA156222"	"1"	"ALAMANCE"	"08N"	"08N"
"48"	"HYDE"	"000000007845"	"11/02/2010"	"11/02/2010 GENERAL"	"IN-PERSON"	"UNA"	"UNAFFILIATED"	"08N"	"NORTH NEWLIN"	"AA156222"	"1"	"ALAMANCE"	"08N"	"08N"
"48"	"HYDE"	"000000007845"	"11/04/2014"	"11/04/2014 GENERAL"	"IN-PERSON"	"UNA"	"UNAFFILIATED"	"OCK"	"OCRACOKE"	"AA156222"	"48"	"HYDE"	"OCK"	"OCK"
"48"	"HYDE"	"000000007845"	"03/15/2016"	"03/15/2016 PRIMARY"	"ABSENTEE ONESTOP"	"DEM"	"DEMOCRATIC"	"OCK"	"OCRACOKE"	"AA156222"	"48"	"HYDE"	"OCK"	"OCK"
"48"	"HYDE"	"000000007845"	"11/08/2016"	"11/08/2016 GENERAL"	"ABSENTEE ONESTOP"	"UNA"	"UNAFFILIATED"	"OCK"	"OCRACOKE"	"AA156222"	"48"	"HYDE"	"OCK"	"OCK"
"48"	"HYDE"	"000000007845"	"05/08/2018"	"05/08/2018 PRIMARY"	"IN-PERSON"	"DEM"	"DEMOCRATIC"	"OCK"	"OCRACOKE"	"AA156222"	"48"	"HYDE"	"OCK"	"OCK"
"48"	"HYDE"	"000000007845"	"11/06/2018"	"11/06/2018 GENERAL"	"ABSENTEE ONESTOP"	"DEM"	"DEMOCRATIC"	"OCK"	"OCRACOKE"	"AA156222"	"48"	"HYDE"	"OCK"	"OCK"
"48"	"HYDE"	"000000007845"	"03/03/2020"	"03/03/2020 PRIMARY"	"ABSENTEE ONESTOP"	"DEM"	"DEMOCRATIC"	"OCK"	"OCRACOKE"	"AA156222"	"48"	"HYDE"	"OCK"	"OCK"
"48"	"HYDE"	"000000008281"	"11/02/2010"	"11/02/2010 GENERAL"	"ABSENTEE BY MAIL"	"REP"	"REPUBLICAN"	"T5"	"TAYLORSVILLE #5"	"AB26407"	"2"	"ALEXANDER"	"T5"	"T5"
"48"	"HYDE"	"000000008475"	"11/06/2012"	"11/06/2012 GENERAL"	"ABSENTEE ONESTOP"	"DEM"	"DEMOCRATIC"	"PANTE"	"PANTEGO"	"AG15349"	"7"	"BEAUFORT"	"PANTE"	"PANTE"
"48"	"HYDE"	"000000008475"	"11/04/2014"	"11/04/2014 GENERAL"	"IN-PERSON"	"DEM"	"DEMOCRATIC"	"PANTE"	"PANTEGO"	"AG15349"	"7"	"BEAUFORT"	"PANTE"	"PANTE"
"48"	"HYDE"	"000000008475"	"11/02/2010"	"11/02/2010 GENERAL"	"IN-PERSON"	"DEM"	"DEMOCRATIC"	"PANTE"	"PANTEGO"	"AG15349"	"7"	"BEAUFORT"	"PANTE"	"PANTE"
"48"	"HYDE"	"000000008475"	"05/08/2012"	"05/08/2012 PRIMARY"	"IN-PERSON"	"DEM"	"DEMOCRATIC"	"PANTE"	"PANTEGO"	"AG15349"	"7"	"BEAUFORT"	"PANTE"	"PANTE"
"48"	"HYDE"	"000000008475"	"11/08/2016"	"11/08/2016 GENERAL"	"IN-PERSON"	"DEM"	"DEMOCRATIC"	"PANTE"	"PANTEGO"	"AG15349"	"7"	"BEAUFORT"	"PANTE"	"PANTE"
"48"	"HYDE"	"000000008475"	"03/03/2020"	"03/03/2020 PRIMARY"	"IN-PERSON"	"REP"	"REPUBLICAN"	"BM"	"BURGESS MILL"	"AG15349"	"48"	"HYDE"	"BM"	"BM"
"48"	"HYDE"	"000000008475"	"11/06/2018"	"11/06/2018 GENERAL"	"IN-PERSON"	"UNA"	"UNAFFILIATED"	"BM"	"BURGESS MILL"	"AG15349"	"48"	"HYDE"	"BM"	"BM"
"48"	"HYDE"	"000000006640"	"04/30/2019"	"04/30/2019 PRIMARY"	"IN-PERSON"	"DEM"	"DEMOCRATIC"	"ENG"	"ENGELHARD"	"AG22616"	"48"	"HYDE"	"ENG"	"ENG"
"48"	"HYDE"	"000000006640"	"05/04/2010"	"05/04/2010 PRIMARY"	"IN-PERSON"	"DEM"	"DEMOCRATIC"	"LL"	"LAKE LANDING"	"AG22616"	"48"	"HYDE"	"LL"	"LL"
"48"	"HYDE"	"000000006640"	"11/08/2016"	"11/08/2016 GENERAL"	"ABSENTEE ONESTOP"	"DEM"	"DEMOCRATIC"	"ENG"	"ENGELHARD"	"AG22616"	"48"	"HYDE"	"ENG"	"ENG"
"48"	"HYDE"	"000000006640"	"03/03/2020"	"03/03/2020 PRIMARY"	"IN-PERSON"	"DEM"	"DEMOCRATIC"	"ENG"	"ENGELHARD"	"AG22616"	"48"	"HYDE"	"ENG"	"ENG"
"48"	"HYDE"	"000000006640"	"05/08/2018"	"05/08/2018 PRIMARY"	"IN-PERSON"	"DEM"	"DEMOCRATIC"	"ENG"	"ENGELHARD"	"AG22616"	"48"	"HYDE"	"ENG"	"ENG"
"48"	"HYDE"	"000000006640"	"06/22/2010"	"06/22/2010 SECOND PRIMARY"	"IN-PERSON"	"DEM"	"DEMOCRATIC"	"LL"	"LAKE LANDING"	"AG22616"	"48"	"HYDE"	"LL"	"LL"
"48"	"HYDE"	"000000006640"	"11/04/2014"	"11/04/2014 GENERAL"	"PROVISIONAL"	""	""	"ENG"	"ENGELHARD"	"AG22616"	"48"	"HYDE"	"ENG"	"ENG"
